#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         334    0.971723    0.970561 2.79328e-05
         335    0.971734    0.970564 2.80679e-05
         336    0.971745    0.970568 2.82033e-05
         337    0.971756    0.970571  2.8339e-05
         338    0.971767    0.970575  2.8475e-05
         339    0.971778    0.970578 2.86113e-05
         340    0.971789    0.970582 2.87479e-05
         341      0.9718    0.970586 2.88848e-05
         342    0.971812    0.970589  2.9022e-05
         343    0.971823    0.970593 2.91595e-05
         344    0.971834    0.970596 2.92973e-05
         345    0.971846      0.9706 2.94354e-05
         346    0.971857    0.970604 2.95738e-05
         347    0.971869    0.970607 2.97124e-05
         348     0.97188    0.970611 2.98514e-05
         349    0.971892    0.970615 2.99907e-05
         350    0.971904    0.970618 3.01303e-05
         351    0.971915    0.970622 3.02701e-05
         352    0.971927    0.970626 3.04103e-05
         353    0.971939    0.970629 3.05508e-05
         354     0.97195    0.970633 3.06915e-05
         355    0.971962    0.970637 3.08326e-05
         356    0.971974    0.970641  3.0974e-05
         357    0.971986    0.970644 3.11157e-05
         358    0.971998    0.970648 3.12576e-05
         359     0.97201    0.970652 3.13999e-05
         360    0.972022    0.970656 3.15425e-05
         361    0.972034     0.97066 3.16854e-05
         362    0.972046    0.970663 3.18285e-05
         363    0.972058    0.970667  3.1972e-05
         364    0.972071    0.970671 3.21158e-05
         365    0.972083    0.970675 3.22599e-05
         366    0.972095    0.970679 3.24043e-05
         367    0.972108    0.970683  3.2549e-05
         368     0.97212    0.970687 3.26941e-05
         369    0.972132    0.970691 3.28394e-05
         370    0.972145    0.970695  3.2985e-05
         371    0.972157    0.970698 3.31309e-05
         372     0.97217    0.970702 3.32772e-05
         373    0.972183    0.970706 3.34237e-05
         374    0.972195     0.97071 3.35706e-05
         375    0.972208    0.970714 3.37177e-05
         376    0.972221    0.970718 3.38652e-05
         377    0.972233    0.970722 3.40129e-05
         378    0.972246    0.970726  3.4161e-05
         379    0.972259     0.97073 3.43094e-05
         380    0.972272    0.970735 3.44581e-05
         381    0.972285    0.970739 3.46071e-05
         382    0.972298    0.970743 3.47564e-05
         383    0.972311    0.970747  3.4906e-05
         384    0.972324    0.970751  3.5056e-05
         385    0.972337    0.970755 3.52062e-05
         386     0.97235    0.970759 3.53568e-05
         387    0.972364    0.970763 3.55076e-05
         388    0.972377    0.970767 3.56588e-05
         389     0.97239    0.970772 3.58103e-05
         390    0.972403    0.970776 3.59621e-05
         391    0.972417     0.97078 3.61143e-05
         392     0.97243    0.970784 3.62667e-05
         393    0.972444    0.970788 3.64195e-05
         394    0.972457    0.970793 3.65725e-05
         395    0.972471    0.970797 3.67259e-05
         396    0.972485    0.970801 3.68796e-05
         397    0.972498    0.970805 3.70336e-05
         398    0.972512     0.97081  3.7188e-05
         399    0.972526    0.970814 3.73426e-05
         400    0.972539    0.970818 3.74976e-05
         401    0.972553    0.970823 3.76528e-05
         402    0.972567    0.970827 3.78084e-05
         403    0.972581    0.970831 3.79643e-05
         404    0.972595    0.970836 3.81206e-05
         405    0.972609     0.97084 3.82771e-05
         406    0.972623    0.970844  3.8434e-05
         407    0.972637    0.970849 3.85912e-05
         408    0.972652    0.970853 3.87487e-05
         409    0.972666    0.970858 3.89065e-05
         410     0.97268    0.970862 3.90647e-05
         411    0.972694    0.970867 3.92231e-05
         412    0.972709    0.970871 3.93819e-05
         413    0.972723    0.970876  3.9541e-05
         414    0.972738     0.97088 3.97005e-05
         415    0.972752    0.970885 3.98602e-05
         416    0.972767    0.970889 4.00203e-05
         417    0.972781    0.970894 4.01807e-05
         418    0.972796    0.970898 4.03414e-05
         419     0.97281    0.970903 4.05025e-05
         420    0.972825    0.970907 4.06638e-05
         421     0.97284    0.970912 4.08255e-05
         422    0.972855    0.970917 4.09875e-05
         423     0.97287    0.970921 4.11499e-05
         424    0.972885    0.970926 4.13126e-05
         425      0.9729     0.97093 4.14756e-05
         426    0.972915    0.970935 4.16389e-05
         427     0.97293     0.97094 4.18026e-05
         428    0.972945    0.970944 4.19666e-05
         429     0.97296    0.970949 4.21309e-05
         430    0.972975    0.970954 4.22956e-05
         431     0.97299    0.970959 4.24605e-05
         432    0.973006    0.970963 4.26259e-05
         433    0.973021    0.970968 4.27915e-05
         434    0.973037    0.970973 4.29575e-05
         435    0.973052    0.970978 4.31238e-05
         436    0.973067    0.970982 4.32905e-05
         437    0.973083    0.970987 4.34575e-05
         438    0.973099    0.970992 4.36248e-05
         439    0.973114    0.970997 4.37925e-05
         440     0.97313    0.971002 4.39605e-05
         441    0.973146    0.971007 4.41288e-05
         442    0.973162    0.971011 4.42975e-05
         443    0.973177    0.971016 4.44665e-05
         444    0.973193    0.971021 4.46358e-05
         445    0.973209    0.971026 4.48055e-05
         446    0.973225    0.971031 4.49756e-05
         447    0.973241    0.971036  4.5146e-05
         448    0.973257    0.971041 4.53167e-05
         449    0.973274    0.971046 4.54877e-05
         450     0.97329    0.971051 4.56591e-05
         451    0.973306    0.971056 4.58309e-05
         452    0.973322    0.971061  4.6003e-05
         453    0.973339    0.971066 4.61754e-05
         454    0.973355    0.971071 4.63482e-05
         455    0.973372    0.971076 4.65213e-05
