#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
         218   0.0485352   0.0485117 7.11997e-07
         219   0.0485356   0.0485118 7.17064e-07
         220   0.0485359   0.0485119 7.22146e-07
         221   0.0485362    0.048512 7.27242e-07
         222   0.0485366   0.0485121 7.32352e-07
         223   0.0485369   0.0485122 7.37476e-07
         224   0.0485373   0.0485123 7.42615e-07
         225   0.0485376   0.0485124 7.47767e-07
         226    0.048538   0.0485126 7.52934e-07
         227   0.0485383   0.0485127 7.58115e-07
         228   0.0485387   0.0485128 7.63311e-07
         229    0.048539   0.0485129  7.6852e-07
         230   0.0485394    0.048513 7.73744e-07
         231   0.0485397   0.0485131 7.78982e-07
         232   0.0485401   0.0485132 7.84235e-07
         233   0.0485404   0.0485134 7.89502e-07
         234   0.0485408   0.0485135 7.94784e-07
         235   0.0485412   0.0485136  8.0008e-07
         236   0.0485415   0.0485137 8.05391e-07
         237   0.0485419   0.0485138 8.10717e-07
         238   0.0485423   0.0485139 8.16057e-07
         239   0.0485426   0.0485141 8.21412e-07
         240    0.048543   0.0485142 8.26782e-07
         241   0.0485434   0.0485143 8.32166e-07
         242   0.0485437   0.0485144 8.37565e-07
         243   0.0485441   0.0485146 8.42979e-07
         244   0.0485445   0.0485147 8.48407e-07
         245   0.0485449   0.0485148  8.5385e-07
         246   0.0485453   0.0485149 8.59308e-07
         247   0.0485456    0.048515  8.6478e-07
         248    0.048546   0.0485152 8.70267e-07
         249   0.0485464   0.0485153 8.75769e-07
         250   0.0485468   0.0485154 8.81285e-07
         251   0.0485472   0.0485156 8.86816e-07
         252   0.0485476   0.0485157 8.92362e-07
         253    0.048548   0.0485158 8.97922e-07
         254   0.0485484   0.0485159 9.03497e-07
         255   0.0485488   0.0485161 9.09086e-07
         256   0.0485492   0.0485162  9.1469e-07
         257   0.0485496   0.0485163 9.20309e-07
         258     0.04855   0.0485165 9.25942e-07
         259   0.0485504   0.0485166  9.3159e-07
         260   0.0485508   0.0485167 9.37253e-07
         261   0.0485512   0.0485168 9.42929e-07
         262   0.0485516    0.048517 9.48621e-07
         263    0.048552   0.0485171 9.54327e-07
         264   0.0485524   0.0485172 9.60047e-07
         265   0.0485529   0.0485174 9.65782e-07
         266   0.0485533   0.0485175 9.71532e-07
         267   0.0485537   0.0485177 9.77296e-07
         268   0.0485541   0.0485178 9.83075e-07
         269   0.0485545   0.0485179 9.88869e-07
         270    0.048555   0.0485181 9.94677e-07
         271   0.0485554   0.0485182  1.0005e-06
         272   0.0485558   0.0485183 1.00634e-06
         273   0.0485563   0.0485185 1.01219e-06
         274   0.0485567   0.0485186 1.01805e-06
         275   0.0485571   0.0485188 1.02393e-06
         276   0.0485576   0.0485189 1.02983e-06
         277    0.048558    0.048519 1.03574e-06
         278   0.0485584   0.0485192 1.04166e-06
         279   0.0485589   0.0485193  1.0476e-06
