# BLOCK   OBS_AVE          ERROR     ACCEPTANCE
    336   1.52261      0.0270514         0.4692
    337   1.52305      0.0269749          0.478
    338   1.52315      0.0268954         0.4848
    339    1.5231      0.0268162         0.4916
    340   1.52362      0.0267425         0.4996
    341   1.52358      0.0266642         0.4864
    342   1.52354      0.0265864         0.4852
    343   1.52313      0.0265122         0.4732
    344   1.52285      0.0264367         0.4612
    345   1.52264       0.026361         0.4676
    346   1.52258       0.026285          0.486
    347   1.52293      0.0262117         0.4968
    348   1.52262      0.0261383         0.4592
    349   1.52254      0.0260636         0.4596
    350   1.52237      0.0259899         0.4604
    351   1.52226      0.0259161         0.4736
    352   1.52222      0.0258426         0.4604
    353   1.52232      0.0257697         0.4912
    354   1.52274      0.0257005         0.4912
    355   1.52267      0.0256283          0.484
    356   1.52253      0.0255568           0.48
    357   1.52274      0.0254862         0.4844
    358   1.52274      0.0254151         0.4924
    359   1.52287      0.0253447         0.5036
    360   1.52283      0.0252744         0.4784
    361   1.52306      0.0252056         0.4944
    362   1.52287      0.0251368         0.4652
    363   1.52289      0.0250677         0.4708
    364   1.52279      0.0249991         0.4752
    365   1.52269      0.0249309         0.4692
    366   1.52269      0.0248629          0.504
    367   1.52241      0.0247968          0.452
    368   1.52213      0.0247311         0.4952
    369   1.52232      0.0246649         0.4688
    370   1.52216      0.0245988         0.4776
    371   1.52228      0.0245329          0.482
    372   1.52178       0.024472         0.4692
    373   1.52124      0.0244124         0.4632
    374   1.52137      0.0243475         0.4816
    375    1.5213      0.0242828         0.4816
    376   1.52129      0.0242183         0.4764
    377   1.52131      0.0241541         0.4712
    378   1.52143      0.0240906         0.4796
    379   1.52135      0.0240273         0.4836
    380   1.52118      0.0239647          0.482
    381   1.52105      0.0239023         0.4728
    382   1.52092      0.0238402          0.478
    383   1.52085      0.0237781         0.4832
    384    1.5211      0.0237175         0.4812
    385   1.52141      0.0236581          0.496
    386   1.52124      0.0235975         0.4608
    387   1.52074       0.023542         0.4636
    388   1.52035      0.0234845         0.4688
    389   1.52058      0.0234254         0.4832
    390   1.52044      0.0233658         0.4748
    391   1.52066      0.0233072         0.4832
    392   1.52063      0.0232478         0.4868
    393    1.5208      0.0231893           0.47
    394   1.52082      0.0231306         0.5012
    395   1.52081      0.0230721         0.4732
    396   1.52074       0.023014         0.4724
    397   1.52059      0.0229566         0.4916
    398   1.52043      0.0228995         0.4728
    399   1.52045      0.0228422         0.4832
