# BLOCK   OBS_AVE          ERROR     ACCEPTANCE
    261   1.50237     0.00521518         0.4892
    262   1.50242      0.0051955         0.4988
    263   1.50237     0.00517597         0.4724
    264   1.50258     0.00516046         0.4908
    265   1.50327     0.00518719          0.488
    266   1.50348     0.00517197         0.4924
    267   1.50349     0.00515266         0.4892
    268    1.5038     0.00514231         0.4764
    269   1.50358     0.00512775         0.4968
    270   1.50335     0.00511407         0.4608
    271   1.50284     0.00511997         0.4712
    272   1.50325     0.00511695            0.5
    273   1.50323     0.00509827         0.4904
    274   1.50298     0.00508567         0.4756
    275   1.50305     0.00506766           0.49
    276   1.50297     0.00505005         0.4636
    277   1.50322     0.00503833         0.4868
    278   1.50312     0.00502132         0.4876
    279   1.50289     0.00500858         0.4824
    280   1.50258      0.0050004         0.4716
    281   1.50241     0.00498534         0.4936
    282   1.50242      0.0049677         0.4844
    283   1.50291     0.00497439          0.486
    284   1.50316     0.00496303         0.4752
    285   1.50303     0.00494728           0.49
    286   1.50328     0.00493612         0.4924
    287   1.50288     0.00493509         0.4772
    288   1.50319     0.00492803         0.4772
    289   1.50326     0.00491143         0.4732
    290   1.50347     0.00489922         0.4988
    291    1.5033     0.00488549         0.4816
    292    1.5033      0.0048688         0.5004
    293   1.50321     0.00485312           0.47
    294   1.50323     0.00483667         0.4752
    295   1.50319     0.00482045         0.4888
    296    1.5028     0.00482014         0.4676
    297   1.50257     0.00480911          0.456
    298   1.50258       0.004793         0.4932
    299   1.50267     0.00477787         0.4712
    300   1.50322      0.0047938         0.5044
    301   1.50341      0.0047818         0.4884
    302   1.50292     0.00479171         0.4664
    303   1.50247     0.00479666          0.466
    304   1.50263     0.00478347         0.4928
    305   1.50237     0.00477477         0.4692
    306   1.50194     0.00477872         0.4592
    307   1.50179     0.00476544         0.4904
    308   1.50262      0.0048207         0.4836
    309    1.5028     0.00480856         0.5012
    310   1.50298     0.00479656         0.4916
    311   1.50254     0.00480108         0.4672
    312   1.50319     0.00482973          0.486
    313   1.50304     0.00481668         0.4744
    314   1.50304     0.00480137         0.4736
    315   1.50295     0.00478711         0.4768
