# BLOCK   OBS_AVE          ERROR     ACCEPTANCE
    310   5.00837      0.0114474         0.5196
    311   5.00857      0.0114123         0.4992
    312   5.00937      0.0114038         0.5144
    313   5.00989      0.0113794          0.516
    314   5.01045      0.0113573         0.5112
    315   5.00965      0.0113494         0.5056
    316   5.00902      0.0113313          0.528
    317   5.00913      0.0112962         0.4968
    318   5.01028      0.0113189          0.552
    319   5.01014      0.0112843         0.5116
    320   5.00976      0.0112554         0.4972
    321   5.00966      0.0112209           0.51
    322   5.00989      0.0111882          0.504
    323   5.01077      0.0111883         0.5248
    324   5.01098       0.011156         0.5188
    325   5.01149      0.0111332         0.5088
    326   5.01134         0.0111         0.5104
    327   5.01217      0.0110972         0.5152
    328    5.0119      0.0110667         0.4976
    329   5.01205      0.0110341         0.5216
    330   5.01291      0.0110342         0.5252
    331   5.01308      0.0110021         0.5204
    332   5.01322        0.01097          0.534
    333   5.01323      0.0109371          0.524
    334    5.0137      0.0109148         0.5164
    335    5.0127      0.0109282         0.5004
    336   5.01236       0.010901         0.5136
    337   5.01299      0.0108865           0.52
    338   5.01277      0.0108566         0.5016
    339   5.01231       0.010834         0.4964
    340   5.01181       0.010814         0.5144
    341   5.01194      0.0107831         0.5408
    342   5.01213      0.0107533         0.5332
    343   5.01185      0.0107255         0.4948
    344   5.01152      0.0106995         0.5108
    345   5.01138      0.0106694         0.5252
    346   5.01112      0.0106419         0.5096
    347   5.01103      0.0106116          0.506
    348   5.01084      0.0105829         0.5112
    349   5.01147      0.0105718         0.5116
    350   5.01205      0.0105572         0.4988
    351   5.01162      0.0105358          0.518
    352   5.01172      0.0105063          0.504
    353   5.01119        0.01049         0.4952
    354   5.01131      0.0104611         0.5224
    355    5.0111      0.0104338         0.4972
    356   5.01159      0.0104156         0.5164
    357   5.01248      0.0104246          0.508
    358   5.01225      0.0103979         0.4968
    359   5.01305      0.0103995         0.5288
    360   5.01281      0.0103734         0.5204
    361   5.01226      0.0103594         0.4784
    362   5.01189      0.0103376         0.5256
    363   5.01141      0.0103202         0.5016
    364   5.01058      0.0103251         0.5044
    365   5.01154      0.0103414         0.5248
    366    5.0114      0.0103142         0.5188
    367   5.01157      0.0102877         0.5184
    368   5.01228      0.0102838         0.5104
    369   5.01131      0.0103017         0.5044
    370    5.0119      0.0102908         0.5284
    371   5.01148      0.0102717         0.4876
    372   5.01116      0.0102491         0.5344
    373   5.01106      0.0102221          0.528
    374   5.01051        0.01021         0.5008
    375   5.01001      0.0101947         0.5108
    376   5.00917      0.0102028         0.5196
    377   5.00965      0.0101872          0.518
    378   5.01027      0.0101794         0.5372
    379    5.0096      0.0101749          0.504
    380   5.00942      0.0101498         0.5228
    381   5.00898      0.0101328          0.512
    382   5.00839      0.0101231          0.486
    383   5.00723      0.0101635         0.4892
    384   5.00635       0.010175         0.4952
    385   5.00663      0.0101524         0.5232
    386   5.00653      0.0101266         0.5124
    387   5.00611      0.0101095          0.516
    388   5.00577       0.010089         0.5188
    389   5.00618      0.0100713          0.516
    390   5.00525      0.0100884           0.48
    391   5.00531      0.0100629         0.5144
    392   5.00561      0.0100416          0.516
    393   5.00573      0.0100168         0.5276
    394   5.00483      0.0100312         0.4972
    395   5.00401      0.0100399         0.4876
    396   5.00387      0.0100156         0.5108
    397   5.00357      0.0099947         0.5268
    398   5.00341     0.00997089         0.5052
    399    5.0035     0.00994629         0.5184
