SA_STEP        SA_TEMP      FINAL_AVE          ERROR     ACCEPTANCE
    194      0.0154639      -0.439378     0.00344919        0.73377
    195      0.0153846      -0.435298      0.0044461        0.73169
    196      0.0153061      -0.431924     0.00464463        0.73189
    197      0.0152284      -0.436308     0.00256771        0.69885
    198      0.0151515      -0.434157     0.00246224        0.69733
    199      0.0150754      -0.445282     0.00297791        0.72007
    200          0.015      -0.444206     0.00244557        0.71709
    201      0.0149254      -0.444062     0.00241307        0.71853
    202      0.0148515       -0.44499     0.00220858        0.71602
    203      0.0147783      -0.441662      0.0025139        0.72247
    204      0.0147059         -0.445     0.00269179        0.71982
    205      0.0146341      -0.446564     0.00257299        0.72005
    206      0.0145631      -0.444474     0.00253823        0.73769
    207      0.0144928      -0.443972     0.00310092        0.73835
    208      0.0144231      -0.437868     0.00308572        0.73967
    209      0.0143541       -0.43932     0.00327917        0.72646
    210      0.0142857      -0.445502     0.00286534        0.72634
    211       0.014218      -0.441359     0.00275704        0.72413
    212      0.0141509      -0.446157     0.00267386        0.72521
    213      0.0140845      -0.438768        0.00214        0.70268
    214      0.0140187      -0.435883     0.00214641        0.69728
    215      0.0139535      -0.431866     0.00360793        0.72559
    216      0.0138889        -0.4287      0.0038676        0.72493
    217      0.0138249      -0.436593     0.00308017        0.72254
    218      0.0137615      -0.443981     0.00315596        0.72231
    219      0.0136986      -0.439446     0.00228807        0.69083
    220      0.0136364      -0.439117     0.00206854        0.69383
    221      0.0135747      -0.414078     0.00455676        0.73185
    222      0.0135135      -0.414659     0.00500559        0.73127
    223      0.0134529      -0.418425     0.00454838        0.72893
    224      0.0133929      -0.420108     0.00425585        0.73005
    225      0.0133333      -0.416466     0.00489557        0.73161
    226      0.0132743      -0.439471     0.00223472        0.70196
    227      0.0132159      -0.438965     0.00239438        0.70328
    228      0.0131579      -0.442273     0.00199849        0.70129
    229      0.0131004       -0.43911     0.00235039         0.6976
    230      0.0130435       -0.42666     0.00235073        0.67057
    231       0.012987      -0.444021     0.00237672        0.72203
    232       0.012931      -0.438007     0.00212092        0.72385
    233      0.0128755      -0.438169     0.00213669        0.72936
    234      0.0128205      -0.441496     0.00252175         0.7246
    235       0.012766      -0.438571     0.00284592        0.72574
    236      0.0127119      -0.441128     0.00202059        0.72362
    237      0.0126582      -0.439084     0.00201472        0.69447
    238       0.012605      -0.438033     0.00245247        0.69684
    239      0.0125523      -0.441468     0.00231573        0.69485
    240         0.0125      -0.438116     0.00214536        0.69295
    241      0.0124481      -0.437234     0.00237222        0.73302
