#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         279    -5.43909    -5.43804  0.00124195
         280    -5.43912    -5.43805  0.00123752
         281    -5.43851    -5.43805  0.00123312
         282    -5.43855    -5.43805  0.00122874
         283    -5.43826    -5.43805   0.0012244
         284    -5.43829    -5.43805  0.00122009
         285    -5.43864    -5.43805  0.00121581
         286    -5.43835    -5.43806  0.00121156
         287    -5.43903    -5.43806  0.00120735
         288    -5.43906    -5.43806  0.00120316
         289    -5.43973    -5.43807  0.00119901
         290    -5.44073    -5.43808  0.00119491
         291    -5.44076    -5.43809  0.00119084
         292    -5.44078     -5.4381   0.0011868
         293    -5.44016     -5.4381  0.00118277
         294     -5.4405    -5.43811  0.00117877
         295    -5.43987    -5.43812  0.00117479
         296    -5.43989    -5.43812  0.00117084
         297    -5.43926    -5.43813   0.0011669
         298    -5.43927    -5.43813  0.00116299
         299    -5.43896    -5.43813  0.00115911
         300     -5.4393    -5.43814  0.00115525
         301    -5.43898    -5.43814  0.00115141
         302    -5.43867    -5.43814   0.0011476
         303    -5.43867    -5.43814  0.00114382
         304    -5.43835    -5.43814  0.00114005
         305    -5.43803    -5.43814  0.00113632
         306    -5.43803    -5.43814   0.0011326
         307    -5.43771    -5.43814  0.00112891
         308    -5.43771    -5.43814  0.00112525
         309     -5.4377    -5.43814  0.00112161
         310     -5.4377    -5.43814  0.00111799
         311    -5.43801    -5.43814   0.0011144
         312      -5.438    -5.43814  0.00111083
         313    -5.43832    -5.43814  0.00110728
         314    -5.43798    -5.43814  0.00110375
         315    -5.43732    -5.43813  0.00110025
         316    -5.43731    -5.43813  0.00109677
         317    -5.43664    -5.43813  0.00109332
         318    -5.43695    -5.43812  0.00108989
         319    -5.43628    -5.43812  0.00108649
         320    -5.43626    -5.43811  0.00108311
         321    -5.43624    -5.43811  0.00107975
         322    -5.43621     -5.4381  0.00107641
         323    -5.43651     -5.4381  0.00107309
         324    -5.43616    -5.43809   0.0010698
         325    -5.43613    -5.43808  0.00106652
         326    -5.43642    -5.43808  0.00106326
         327    -5.43672    -5.43807  0.00106002
         328    -5.43701    -5.43807  0.00105679
         329    -5.43729    -5.43807  0.00105358
         330    -5.43693    -5.43806   0.0010504
         331    -5.43657    -5.43806  0.00104723
         332    -5.43653    -5.43806  0.00104409
         333    -5.43649    -5.43805  0.00104096
         334    -5.43613    -5.43805  0.00103786
         335    -5.43512    -5.43804   0.0010348
         336    -5.43475    -5.43803  0.00103177
         337    -5.43503    -5.43802  0.00102874
         338    -5.43466    -5.43801  0.00102575
         339    -5.43461      -5.438  0.00102277
         340    -5.43456    -5.43799  0.00101981
         341    -5.43419    -5.43798  0.00101688
         342    -5.43317    -5.43796  0.00101401
         343    -5.43247    -5.43795  0.00101118
         344    -5.43275    -5.43793  0.00100835
         345    -5.43302    -5.43792  0.00100553
         346    -5.43264     -5.4379  0.00100274
         347    -5.43291    -5.43789 0.000999951
         348    -5.43254    -5.43787 0.000997196
         349    -5.43151    -5.43785 0.000994505
         350    -5.43081    -5.43783 0.000991867
         351    -5.43108    -5.43781 0.000989228
         352    -5.43135     -5.4378 0.000986588
         353    -5.43097    -5.43778 0.000983983
         354    -5.43156    -5.43776  0.00098136
         355     -5.4315    -5.43774 0.000978754
         356     -5.4321    -5.43773 0.000976133
         357    -5.43236    -5.43771 0.000973514
         358    -5.43328     -5.4377 0.000970874
         359    -5.43355    -5.43769 0.000968238
         360    -5.43252    -5.43767 0.000965655
         361    -5.43279    -5.43766 0.000963075
         362    -5.43273    -5.43765 0.000960511
         363    -5.43267    -5.43763 0.000957962
         364    -5.43294    -5.43762 0.000955417
         365    -5.43289    -5.43761 0.000952887
         366    -5.43283    -5.43759 0.000950373
         367    -5.43278    -5.43758 0.000947874
         368    -5.43337    -5.43757 0.000945367
         369      -5.433    -5.43756 0.000942887
         370     -5.4323    -5.43754 0.000940445
         371    -5.43192    -5.43753 0.000938032
         372    -5.43155    -5.43751 0.000935649
         373    -5.43182     -5.4375 0.000933265
         374    -5.43209    -5.43748 0.000930881
         375    -5.43205    -5.43747 0.000928511
         376      -5.432    -5.43745 0.000926156
