#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         248    -6.44874    -6.64378   0.0358836
         249    -6.45018      -6.643   0.0357479
         250    -6.45131    -6.64224   0.0356131
         251    -6.45215    -6.64148   0.0354793
         252    -6.45334    -6.64073   0.0353464
         253    -6.45456       -6.64   0.0352143
         254    -6.45613    -6.63927   0.0350831
         255    -6.45837    -6.63856   0.0349527
         256    -6.45968    -6.63787   0.0348232
         257    -6.46166    -6.63718   0.0346944
         258    -6.46239     -6.6365   0.0345666
         259    -6.46379    -6.63584   0.0344395
         260    -6.46491    -6.63518   0.0343133
         261    -6.46606    -6.63453    0.034188
         262    -6.46789    -6.63389   0.0340634
         263    -6.47008    -6.63327   0.0339396
         264    -6.47199    -6.63266   0.0338165
         265    -6.47362    -6.63206   0.0336942
         266     -6.4756    -6.63147   0.0335727
         267     -6.4773    -6.63089   0.0334519
         268    -6.47904    -6.63033   0.0333319
         269    -6.48016    -6.62977   0.0332127
         270    -6.48198    -6.62922   0.0330942
         271    -6.48415    -6.62869   0.0329764
         272    -6.48604    -6.62816   0.0328593
         273    -6.48765    -6.62765    0.032743
         274    -6.48961    -6.62714   0.0326274
         275    -6.49194    -6.62665   0.0325124
         276    -6.49399    -6.62617   0.0323982
         277    -6.49639     -6.6257   0.0322846
         278    -6.49851    -6.62525   0.0321717
         279    -6.50164     -6.6248   0.0320594
         280    -6.50383    -6.62437   0.0319479
         281    -6.50541    -6.62395    0.031837
         282    -6.50767    -6.62354   0.0317267
         283    -6.50965    -6.62313   0.0316172
         284    -6.51197    -6.62274   0.0315083
         285    -6.51466    -6.62236      0.0314
         286    -6.51672    -6.62199   0.0312924
         287    -6.51979    -6.62164   0.0311854
         288    -6.52224    -6.62129    0.031079
         289    -6.52536    -6.62096   0.0309732
         290    -6.52884    -6.62064   0.0308681
         291    -6.53137    -6.62034   0.0307635
         292    -6.53392    -6.62004   0.0306596
         293    -6.53585    -6.61975   0.0305563
         294    -6.53877    -6.61948   0.0304536
         295    -6.54073    -6.61921   0.0303515
         296    -6.54337    -6.61895   0.0302501
         297    -6.54537    -6.61871   0.0301492
         298    -6.54803    -6.61847    0.030049
         299    -6.55038    -6.61824   0.0299494
         300    -6.55339    -6.61802   0.0298503
         301    -6.55576    -6.61782   0.0297519
         302    -6.55814    -6.61762    0.029654
         303    -6.56085    -6.61743   0.0295567
         304    -6.56324    -6.61725     0.02946
         305    -6.56564    -6.61709   0.0293639
         306    -6.56835    -6.61693   0.0292684
         307    -6.57075    -6.61678   0.0291735
         308    -6.57347    -6.61663   0.0290791
         309    -6.57618     -6.6165   0.0289853
         310    -6.57889    -6.61638    0.028892
         311    -6.58191    -6.61627   0.0287993
         312     -6.5846    -6.61617   0.0287072
         313     -6.5876    -6.61608   0.0286156
         314    -6.58995      -6.616   0.0285246
         315    -6.59195    -6.61592   0.0284342
         316    -6.59459    -6.61585   0.0283443
         317    -6.59657    -6.61579   0.0282549
         318    -6.59949    -6.61574   0.0281661
         319    -6.60143    -6.61569   0.0280779
         320    -6.60399    -6.61566   0.0279901
         321    -6.60653    -6.61563    0.027903
         322    -6.60905    -6.61561   0.0278163
         323    -6.61186     -6.6156   0.0277302
         324      -6.614    -6.61559   0.0276446
