#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
         503    0.806279    0.865862   0.0127405
         504      0.8064    0.865744   0.0127158
         505     0.80656    0.865627   0.0126911
         506    0.806759    0.865511   0.0126666
         507    0.806996    0.865395   0.0126421
         508    0.807272    0.865281   0.0126178
         509    0.807586    0.865168   0.0125935
         510     0.80794    0.865055   0.0125693
         511    0.808333    0.864944   0.0125452
         512    0.808766    0.864835   0.0125211
         513     0.80924    0.864726   0.0124972
         514    0.809754    0.864619   0.0124734
         515    0.810307    0.864514   0.0124496
         516    0.810901     0.86441   0.0124259
         517    0.811535    0.864308   0.0124023
         518     0.81221    0.864207   0.0123787
         519    0.812925    0.864108   0.0123553
         520     0.81368    0.864011   0.0123319
         521    0.814473    0.863916   0.0123086
         522    0.815306    0.863823   0.0122854
         523    0.816177    0.863732   0.0122622
         524    0.817087    0.863643   0.0122391
         525    0.818036    0.863556   0.0122161
         526    0.819022    0.863471   0.0121932
         527    0.820045    0.863389   0.0121703
         528    0.821105    0.863309   0.0121476
         529    0.822203    0.863231   0.0121248
         530    0.823337    0.863156   0.0121022
         531    0.824506    0.863083   0.0120796
         532    0.825711    0.863013   0.0120571
         533    0.826949    0.862945   0.0120347
         534     0.82822     0.86288   0.0120123
         535    0.829523    0.862818     0.01199
         536    0.830857    0.862758   0.0119678
         537    0.832221    0.862701   0.0119457
         538    0.833613    0.862647   0.0119236
         539    0.835032    0.862596   0.0119016
         540    0.836475    0.862548   0.0118796
         541    0.837943    0.862502   0.0118578
         542    0.839433     0.86246    0.011836
         543    0.840944     0.86242   0.0118142
         544    0.842475    0.862383   0.0117926
         545    0.844023     0.86235    0.011771
         546    0.845587    0.862319   0.0117495
         547    0.847166    0.862291    0.011728
         548    0.848756    0.862267   0.0117066
         549    0.850357    0.862245   0.0116853
         550    0.851965    0.862226   0.0116641
         551     0.85358    0.862211   0.0116429
         552    0.855198    0.862198   0.0116219
         553    0.856818    0.862188   0.0116008
         554    0.858438    0.862181   0.0115799
         555    0.860055    0.862178    0.011559
         556    0.861668    0.862177   0.0115383
         557    0.863275    0.862179   0.0115175
         558    0.864875    0.862183   0.0114969
         559    0.866465    0.862191   0.0114763
         560    0.868043    0.862202   0.0114558
         561    0.869607    0.862215   0.0114354
         562    0.871155    0.862231   0.0114151
         563    0.872687    0.862249   0.0113948
         564    0.874199     0.86227   0.0113747
         565     0.87569    0.862294   0.0113545
         566    0.877157     0.86232   0.0113345
         567    0.878601    0.862349   0.0113146
         568     0.88002     0.86238   0.0112947
         569    0.881413    0.862414   0.0112749
         570    0.882776    0.862449   0.0112552
         571     0.88411    0.862487   0.0112355
         572    0.885414    0.862527   0.0112159
         573    0.886687     0.86257   0.0111964
         574    0.887927    0.862614    0.011177
         575    0.889135     0.86266   0.0111577
         576     0.89031    0.862708   0.0111384
         577     0.89145    0.862758   0.0111192
         578    0.892557    0.862809   0.0111001
         579    0.893629    0.862862   0.0110811
         580    0.894666    0.862917   0.0110621
         581    0.895668    0.862974   0.0110432
         582    0.896634    0.863032   0.0110244
         583    0.897565    0.863091   0.0110056
         584    0.898461    0.863151   0.0109869
         585    0.899324    0.863213   0.0109683
         586    0.900155    0.863276   0.0109498
         587    0.900951     0.86334   0.0109313
         588    0.901715    0.863406   0.0109129
         589    0.902445    0.863472   0.0108946
         590    0.903144    0.863539   0.0108764
         591     0.90381    0.863607   0.0108582
         592    0.904446    0.863676     0.01084
         593    0.905053    0.863746    0.010822
         594    0.905631    0.863817    0.010804
         595    0.906182    0.863888   0.0107861
         596    0.906707     0.86396   0.0107682
         597    0.907206    0.864032   0.0107504
         598    0.907682    0.864105   0.0107327
         599    0.908134    0.864179    0.010715
         600    0.908566    0.864253   0.0106974
         601    0.908977    0.864327   0.0106799
         602     0.90937    0.864402   0.0106624
         603    0.909745    0.864477    0.010645
         604    0.910104    0.864553   0.0106276
         605    0.910448    0.864628   0.0106103
         606    0.910777    0.864705   0.0105931
         607    0.911094    0.864781   0.0105759
         608    0.911401    0.864858   0.0105588
         609    0.911697    0.864935   0.0105418
         610    0.911983    0.865012   0.0105248
         611    0.912261    0.865089   0.0105078
         612    0.912531    0.865167   0.0104909
         613    0.912794    0.865244   0.0104741
         614    0.913053    0.865322   0.0104573
         615    0.913308      0.8654   0.0104406
         616    0.913562    0.865478    0.010424
         617    0.913814    0.865557   0.0104074
         618    0.914065    0.865635   0.0103908
         619    0.914316    0.865714   0.0103743
         620    0.914567    0.865793   0.0103579
         621     0.91482    0.865871   0.0103415
         622    0.915075    0.865951   0.0103252
         623    0.915333     0.86603   0.0103089
         624    0.915595    0.866109   0.0102927
         625    0.915863    0.866189   0.0102766
         626    0.916136    0.866269   0.0102604
         627    0.916415    0.866349   0.0102444
         628    0.916702    0.866429   0.0102284
         629    0.916997    0.866509   0.0102124
         630      0.9173     0.86659   0.0101966
         631    0.917612    0.866671   0.0101807
         632    0.917933    0.866752   0.0101649
         633    0.918264    0.866833   0.0101492
         634    0.918605    0.866915   0.0101335
         635    0.918958    0.866997   0.0101179
         636    0.919322    0.867079   0.0101023
         637    0.919698    0.867162   0.0100868
         638    0.920085    0.867245   0.0100713
         639    0.920485    0.867328   0.0100559
         640    0.920896    0.867412   0.0100405
         641     0.92132    0.867496   0.0100252
         642    0.921756     0.86758     0.01001
         643    0.922206    0.867665  0.00999477
         644    0.922669    0.867751  0.00997961
         645    0.923144    0.867837  0.00996451
         646    0.923633    0.867923  0.00994946
         647    0.924136     0.86801  0.00993446
         648    0.924652    0.868097  0.00991952
         649    0.925181    0.868185  0.00990462
         650    0.925722    0.868274  0.00988978
         651    0.926275    0.868363  0.00987499
         652     0.92684    0.868452  0.00986025
         653    0.927415    0.868543  0.00984556
         654    0.928001    0.868634  0.00983093
         655    0.928598    0.868725  0.00981635
         656    0.929204    0.868817  0.00980181
         657    0.929819     0.86891  0.00978734
         658    0.930443    0.869004  0.00977291
         659    0.931076    0.869098  0.00975853
         660    0.931717    0.869193  0.00974421
         661    0.932367    0.869288  0.00972993
         662    0.933022    0.869385  0.00971571
         663    0.933681    0.869482  0.00970154
         664    0.934344    0.869579  0.00968742
         665    0.935009    0.869678  0.00967336
         666    0.935676    0.869777  0.00965934
         667    0.936343    0.869877  0.00964537
         668    0.937011    0.869977  0.00963146
         669    0.937678    0.870078  0.00961759
         670    0.938341     0.87018  0.00960378
         671    0.939001    0.870283  0.00959001
         672    0.939657    0.870386   0.0095763
         673    0.940306     0.87049  0.00956263
         674    0.940949    0.870594  0.00954901
         675    0.941583      0.8707  0.00953545
         676    0.942207    0.870805  0.00952193
         677    0.942822    0.870912  0.00950846
         678    0.943426    0.871019  0.00949503
         679    0.944017    0.871126  0.00948166
         680    0.944593    0.871234  0.00946833
         681    0.945153    0.871343  0.00945505
         682    0.945696    0.871452  0.00944181
         683    0.946222    0.871561  0.00942863
         684     0.94673    0.871671  0.00941548
         685    0.947219    0.871782  0.00940238
         686    0.947687    0.871892  0.00938933
