#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         245     1.01082     1.20794   0.0352917
         246     1.01185     1.20714   0.0351572
         247     1.01289     1.20635   0.0350237
         248     1.01396     1.20558   0.0348911
         249     1.01505     1.20481   0.0347593
         250     1.01616     1.20406   0.0346285
         251     1.01729     1.20331   0.0344985
         252     1.01846     1.20258   0.0343694
         253     1.01964     1.20186   0.0342412
         254     1.02086     1.20114   0.0341138
         255     1.02211     1.20044   0.0339872
         256     1.02338     1.19975   0.0338615
         257     1.02469     1.19907   0.0337366
         258     1.02603      1.1984   0.0336125
         259      1.0274     1.19774   0.0334892
         260      1.0288     1.19709   0.0333667
         261     1.03024     1.19645    0.033245
         262     1.03171     1.19582    0.033124
         263     1.03322      1.1952   0.0330039
         264     1.03477     1.19459   0.0328844
         265     1.03636       1.194   0.0327658
         266     1.03798     1.19341   0.0326478
         267     1.03964     1.19283   0.0325306
         268     1.04134     1.19227   0.0324142
         269     1.04308     1.19171   0.0322984
         270     1.04485     1.19117   0.0321834
         271     1.04666     1.19064    0.032069
         272     1.04851     1.19011   0.0319554
         273     1.05041      1.1896   0.0318424
         274     1.05233      1.1891   0.0317302
         275      1.0543     1.18861   0.0316186
         276     1.05631     1.18813   0.0315076
         277     1.05835     1.18766   0.0313974
         278     1.06043     1.18721   0.0312878
         279     1.06255     1.18676   0.0311788
         280     1.06471     1.18632   0.0310705
         281      1.0669      1.1859   0.0309628
         282     1.06913     1.18548   0.0308558
         283     1.07139     1.18508   0.0307494
         284     1.07369     1.18469   0.0306436
         285     1.07601     1.18431   0.0305385
         286     1.07837     1.18394    0.030434
         287     1.08076     1.18358     0.03033
         288     1.08318     1.18323   0.0302267
         289     1.08563     1.18289    0.030124
         290      1.0881     1.18256   0.0300219
         291     1.09061     1.18225   0.0299204
         292     1.09314     1.18194   0.0298195
         293     1.09569     1.18165   0.0297192
         294     1.09826     1.18137   0.0296195
         295     1.10086     1.18109   0.0295203
         296     1.10347     1.18083   0.0294217
         297     1.10611     1.18058   0.0293238
         298     1.10876     1.18034   0.0292263
         299     1.11142     1.18011   0.0291295
         300     1.11409     1.17989   0.0290332
         301     1.11678     1.17968   0.0289375
         302     1.11947     1.17948   0.0288424
         303     1.12218     1.17929   0.0287478
         304     1.12489     1.17911   0.0286538
         305      1.1276     1.17894   0.0285604
         306     1.13032     1.17878   0.0284675
         307     1.13304     1.17863   0.0283752
         308     1.13576     1.17849   0.0282834
         309     1.13847     1.17836   0.0281921
         310     1.14119     1.17824   0.0281014
         311     1.14389     1.17813   0.0280113
         312     1.14659     1.17803   0.0279217
         313     1.14928     1.17794   0.0278326
         314     1.15196     1.17786   0.0277441
         315     1.15463     1.17778   0.0276562
         316     1.15728     1.17772   0.0275687
