#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         319    0.776765    0.785051   0.0182064
         320    0.778488    0.785031   0.0181495
         321    0.780197    0.785016    0.018093
         322     0.78189    0.785006   0.0180368
         323    0.783566    0.785002   0.0179809
         324    0.785225    0.785002   0.0179254
         325    0.786865    0.785008   0.0178703
         326    0.788487    0.785019   0.0178155
         327    0.790089    0.785034    0.017761
         328    0.791669    0.785055   0.0177069
         329    0.793227    0.785079   0.0176531
         330    0.794761    0.785109   0.0175996
         331    0.796271    0.785142   0.0175464
         332    0.797757     0.78518   0.0174936
         333    0.799216    0.785223   0.0174412
         334    0.800649    0.785269    0.017389
         335    0.802054    0.785319   0.0173372
         336    0.803431    0.785373   0.0172856
         337    0.804779     0.78543   0.0172344
         338    0.806098    0.785492   0.0171836
         339    0.807387    0.785556    0.017133
         340    0.808645    0.785624   0.0170827
         341     0.80987    0.785695   0.0170328
         342    0.811063    0.785769   0.0169832
         343    0.812223    0.785846   0.0169338
         344    0.813349    0.785926   0.0168848
         345    0.814442    0.786009    0.016836
         346      0.8155    0.786094   0.0167876
         347    0.816523    0.786182   0.0167394
         348     0.81751    0.786272   0.0166916
         349    0.818462    0.786364    0.016644
         350    0.819379    0.786459   0.0165967
         351    0.820261    0.786555   0.0165497
         352    0.821105    0.786653    0.016503
         353    0.821912    0.786753   0.0164565
         354    0.822682    0.786854   0.0164104
         355    0.823416    0.786957   0.0163645
         356    0.824112    0.787062   0.0163188
         357    0.824771    0.787167   0.0162735
         358    0.825392    0.787274   0.0162284
         359    0.825976    0.787382   0.0161835
         360    0.826523    0.787491   0.0161389
         361    0.827032      0.7876   0.0160946
         362    0.827504     0.78771   0.0160505
         363    0.827939    0.787821   0.0160067
         364    0.828337    0.787933   0.0159631
         365    0.828698    0.788044   0.0159197
         366    0.829023    0.788156   0.0158766
         367     0.82931    0.788268   0.0158338
         368    0.829561    0.788381   0.0157911
         369    0.829777    0.788493   0.0157488
         370    0.829958    0.788605   0.0157066
         371    0.830105    0.788717   0.0156646
         372    0.830217    0.788828   0.0156229
         373    0.830294    0.788939   0.0155814
         374    0.830339     0.78905   0.0155402
         375     0.83035     0.78916   0.0154991
         376     0.83033     0.78927   0.0154583
         377    0.830278    0.789379   0.0154177
         378    0.830194    0.789486   0.0153773
         379    0.830079    0.789594   0.0153371
         380    0.829933      0.7897   0.0152971
         381    0.829757    0.789805   0.0152573
         382    0.829551    0.789909   0.0152177
         383    0.829315    0.790012   0.0151783
         384    0.829049    0.790113   0.0151391
         385    0.828756    0.790214   0.0151001
         386    0.828436    0.790313   0.0150613
         387    0.828089     0.79041   0.0150227
         388    0.827715    0.790507   0.0149843
         389    0.827315    0.790601   0.0149461
         390    0.826887    0.790694   0.0149081
         391    0.826434    0.790786   0.0148702
         392    0.825954    0.790875   0.0148326
         393    0.825451    0.790963   0.0147951
         394    0.824922     0.79105   0.0147578
         395    0.824369    0.791134   0.0147207
         396    0.823793    0.791216   0.0146837
         397    0.823193    0.791297    0.014647
         398    0.822571    0.791376   0.0146104
         399    0.821927    0.791452   0.0145739
         400     0.82126    0.791527   0.0145377
         401    0.820573    0.791599   0.0145016
         402    0.819865    0.791669   0.0144657
         403    0.819136    0.791738     0.01443
         404    0.818387    0.791803   0.0143944
         405    0.817618    0.791867    0.014359
         406    0.816829    0.791929   0.0143238
         407    0.816021    0.791988   0.0142887
         408    0.815193    0.792045   0.0142538
         409    0.814347    0.792099   0.0142191
         410    0.813483    0.792151   0.0141845
         411    0.812602    0.792201   0.0141501
         412    0.811706    0.792249   0.0141158
         413    0.810793    0.792293   0.0140817
         414    0.809863    0.792336   0.0140477
         415    0.808918    0.792376   0.0140139
         416    0.807957    0.792413   0.0139803
         417     0.80698    0.792448   0.0139468
         418    0.805989    0.792481   0.0139135
         419    0.804983     0.79251   0.0138803
         420    0.803963    0.792538   0.0138473
         421     0.80293    0.792562   0.0138144
         422    0.801884    0.792585   0.0137817
         423    0.800825    0.792604   0.0137491
         424    0.799753    0.792621   0.0137167
         425    0.798668    0.792635   0.0136845
         426     0.79757    0.792647   0.0136523
         427    0.796461    0.792656   0.0136204
         428    0.795341    0.792662   0.0135885
         429    0.794213    0.792666   0.0135569
         430    0.793076    0.792666   0.0135253
         431     0.79193    0.792665    0.013494
         432    0.790775     0.79266   0.0134627
         433    0.789611    0.792653   0.0134316
         434    0.788439    0.792644   0.0134007
         435     0.78726    0.792631   0.0133699
         436    0.786074    0.792616   0.0133392
         437    0.784882    0.792599   0.0133087
         438    0.783686    0.792578   0.0132783
         439    0.782486    0.792555   0.0132481
         440    0.781282     0.79253    0.013218
         441    0.780075    0.792501   0.0131881
         442    0.778866     0.79247   0.0131583
         443    0.777655    0.792437   0.0131286
         444    0.776443    0.792401   0.0130991
         445    0.775231    0.792362   0.0130697
         446     0.77402    0.792321   0.0130405
         447    0.772811    0.792278   0.0130114
         448    0.771604    0.792231   0.0129824
         449    0.770402    0.792183   0.0129536
         450    0.769203    0.792132   0.0129249
         451    0.768009    0.792078   0.0128964
         452    0.766822    0.792022    0.012868
         453    0.765642    0.791964   0.0128397
         454     0.76447    0.791904   0.0128116
         455    0.763306    0.791841   0.0127836
         456    0.762152    0.791776   0.0127557
         457    0.761008    0.791708   0.0127279
         458    0.759876    0.791639   0.0127003
         459    0.758755    0.791567   0.0126729
         460    0.757649    0.791493   0.0126455
         461    0.756557    0.791418   0.0126183
         462    0.755481     0.79134   0.0125913
         463    0.754421     0.79126   0.0125643
         464    0.753378    0.791179   0.0125375
         465    0.752352    0.791095   0.0125108
         466    0.751346     0.79101   0.0124843
         467    0.750358    0.790923   0.0124578
         468    0.749391    0.790834   0.0124315
         469    0.748446    0.790744   0.0124054
         470    0.747523    0.790652   0.0123793
         471    0.746623    0.790558   0.0123534
         472    0.745746    0.790463   0.0123276
         473    0.744894    0.790367   0.0123019
         474    0.744066    0.790269   0.0122763
         475    0.743263     0.79017   0.0122509
         476    0.742487     0.79007   0.0122255
         477    0.741737    0.789969   0.0122003
         478    0.741014    0.789866   0.0121752
         479     0.74032    0.789763   0.0121503
         480    0.739654    0.789658   0.0121254
         481    0.739017    0.789553   0.0121006
         482    0.738408    0.789447    0.012076
         483    0.737831     0.78934   0.0120515
         484    0.737285    0.789233   0.0120271
         485    0.736769    0.789124   0.0120027
         486    0.736284    0.789016   0.0119785
         487    0.735829    0.788907   0.0119544
         488    0.735405    0.788797   0.0119304
         489    0.735013    0.788687   0.0119066
         490    0.734652    0.788577   0.0118828
         491    0.734324    0.788466   0.0118591
         492    0.734029    0.788355   0.0118355
         493    0.733765    0.788245    0.011812
         494    0.733535    0.788134   0.0117886
         495    0.733337    0.788023   0.0117653
         496    0.733173    0.787913   0.0117421
         497    0.733043    0.787802    0.011719
         498    0.732947    0.787692    0.011696
         499    0.732885    0.787582   0.0116731
         500    0.732858    0.787473   0.0116502
         501    0.732865    0.787364   0.0116275
         502    0.732906    0.787255   0.0116048
         503    0.732981    0.787148   0.0115823
         504    0.733091     0.78704   0.0115598
         505    0.733237    0.786934   0.0115374
         506    0.733417    0.786828   0.0115151
         507    0.733633    0.786723   0.0114928
         508    0.733883    0.786619   0.0114707
         509    0.734169    0.786516   0.0114486
         510    0.734491    0.786414   0.0114266
         511    0.734848    0.786313   0.0114047
         512    0.735242    0.786213   0.0113829
         513    0.735673    0.786115   0.0113611
         514     0.73614    0.786018   0.0113394
         515    0.736643    0.785922   0.0113178
         516    0.737183    0.785827   0.0112963
         517    0.737759    0.785734   0.0112748
         518    0.738372    0.785643   0.0112534
         519    0.739023    0.785553   0.0112321
         520    0.739709    0.785465   0.0112108
         521     0.74043    0.785378   0.0111896
         522    0.741187    0.785294   0.0111685
         523    0.741979    0.785211   0.0111475
         524    0.742807     0.78513   0.0111265
         525    0.743669    0.785051   0.0111056
         526    0.744565    0.784974   0.0110847
         527    0.745495    0.784899   0.0110639
         528    0.746459    0.784826   0.0110432
         529    0.747457    0.784756   0.0110226
         530    0.748488    0.784687    0.011002
         531    0.749551    0.784621   0.0109815
         532    0.750646    0.784557    0.010961
         533    0.751772    0.784496   0.0109406
         534    0.752927    0.784437   0.0109203
         535    0.754112     0.78438      0.0109
         536    0.755325    0.784326   0.0108798
         537    0.756565    0.784274   0.0108597
         538     0.75783    0.784225   0.0108396
         539     0.75912    0.784178   0.0108196
         540    0.760432    0.784134   0.0107997
         541    0.761767    0.784093   0.0107798
         542    0.763121    0.784054     0.01076
         543    0.764495    0.784018   0.0107402
         544    0.765886    0.783985   0.0107205
         545    0.767294    0.783954   0.0107009
         546    0.768715    0.783926   0.0106813
         547    0.770151    0.783901   0.0106618
         548    0.771597    0.783879   0.0106424
         549    0.773052    0.783859    0.010623
         550    0.774514    0.783842   0.0106037
         551    0.775982    0.783828   0.0105845
         552    0.777453    0.783816   0.0105653
         553    0.778925    0.783807   0.0105462
         554    0.780398    0.783801   0.0105272
         555    0.781868    0.783798   0.0105082
         556    0.783334    0.783797   0.0104893
         557    0.784795    0.783799   0.0104705
         558     0.78625    0.783803   0.0104517
         559    0.787695     0.78381    0.010433
         560     0.78913     0.78382   0.0104144
         561    0.790552    0.783832   0.0103959
         562    0.791959    0.783846   0.0103774
         563    0.793352    0.783863   0.0103589
         564    0.794727    0.783882   0.0103406
         565    0.796082    0.783904   0.0103223
         566    0.797416    0.783928   0.0103041
         567    0.798728    0.783954    0.010286
         568    0.800018    0.783982   0.0102679
         569    0.801284    0.784012   0.0102499
         570    0.802524    0.784045    0.010232
         571    0.803737    0.784079   0.0102141
         572    0.804922    0.784116   0.0101963
         573    0.806079    0.784154   0.0101786
         574    0.807206    0.784194   0.0101609
         575    0.808305    0.784236   0.0101434
         576    0.809372     0.78428   0.0101258
         577    0.810409    0.784325   0.0101084
         578    0.811416    0.784372    0.010091
         579     0.81239     0.78442   0.0100737
         580    0.813333     0.78447   0.0100565
         581    0.814243    0.784522   0.0100393
         582    0.815122    0.784574   0.0100222
         583    0.815968    0.784628   0.0100051
         584    0.816783    0.784683  0.00998813
         585    0.817568    0.784739  0.00997122
         586    0.818322    0.784797  0.00995437
         587    0.819047    0.784855  0.00993758
         588    0.819741    0.784914  0.00992086
         589    0.820405    0.784974   0.0099042
         590     0.82104    0.785036   0.0098876
         591    0.821646    0.785098  0.00987106
         592    0.822224     0.78516  0.00985459
         593    0.822776    0.785224  0.00983817
         594    0.823301    0.785288  0.00982182
         595    0.823802    0.785353  0.00980553
         596    0.824279    0.785418  0.00978929
         597    0.824733    0.785484  0.00977311
         598    0.825165     0.78555    0.009757
         599    0.825577    0.785617  0.00974094
         600    0.825969    0.785684  0.00972493
         601    0.826343    0.785752  0.00970899
         602      0.8267     0.78582   0.0096931
         603    0.827041    0.785888  0.00967726
         604    0.827368    0.785957  0.00966149
         605     0.82768    0.786026  0.00964576
         606    0.827979    0.786095  0.00963009
         607    0.828267    0.786164  0.00961448
         608    0.828546    0.786234  0.00959892
         609    0.828815    0.786304  0.00958341
         610    0.829075    0.786374  0.00956796
         611    0.829328    0.786445  0.00955256
         612    0.829573    0.786515  0.00953721
         613    0.829813    0.786586  0.00952191
         614    0.830048    0.786656  0.00950667
         615     0.83028    0.786727  0.00949147
         616    0.830511    0.786798  0.00947633
         617     0.83074     0.78687  0.00946124
         618    0.830968    0.786941   0.0094462
         619    0.831196    0.787013  0.00943121
         620    0.831425    0.787084  0.00941627
         621    0.831655    0.787156  0.00940138
         622    0.831887    0.787228  0.00938654
         623    0.832121      0.7873  0.00937175
         624    0.832359    0.787372  0.00935701
         625    0.832602    0.787444  0.00934232
         626    0.832851    0.787517  0.00932768
         627    0.833105     0.78759  0.00931308
         628    0.833365    0.787663  0.00929854
         629    0.833633    0.787736  0.00928404
         630    0.833909    0.787809   0.0092696
         631    0.834193    0.787882   0.0092552
         632    0.834485    0.787956  0.00924085
         633    0.834786     0.78803  0.00922654
         634    0.835096    0.788104  0.00921229
         635    0.835416    0.788179  0.00919808
         636    0.835747    0.788254  0.00918393
         637    0.836089    0.788329  0.00916981
         638    0.836441    0.788404  0.00915575
         639    0.836804     0.78848  0.00914174
         640    0.837178    0.788556  0.00912777
         641    0.837563    0.788633  0.00911385
         642     0.83796    0.788709  0.00909998
         643    0.838369    0.788787  0.00908615
         644     0.83879    0.788864  0.00907238
         645    0.839222    0.788942  0.00905865
         646    0.839667    0.789021  0.00904496
         647    0.840124      0.7891  0.00903133
         648    0.840593    0.789179  0.00901774
         649    0.841073    0.789259   0.0090042
         650    0.841565     0.78934  0.00899071
         651    0.842068    0.789421  0.00897726
         652    0.842581    0.789502  0.00896386
         653    0.843105    0.789584  0.00895051
         654    0.843637    0.789667  0.00893721
         655     0.84418     0.78975  0.00892395
         656    0.844731    0.789834  0.00891074
         657     0.84529    0.789918  0.00889758
         658    0.845857    0.790003  0.00888446
         659    0.846432    0.790089  0.00887139
         660    0.847016    0.790175  0.00885837
         661    0.847606    0.790262   0.0088454
         662    0.848201     0.79035  0.00883247
         663    0.848801    0.790438  0.00881958
         664    0.849403    0.790527  0.00880675
         665    0.850008    0.790616  0.00879396
         666    0.850614    0.790706  0.00878122
         667    0.851221    0.790797  0.00876852
         668    0.851829    0.790888  0.00875587
         669    0.852434     0.79098  0.00874327
         670    0.853038    0.791073  0.00873071
         671    0.853637    0.791166  0.00871819
         672    0.854233     0.79126  0.00870572
         673    0.854824    0.791354   0.0086933
         674    0.855408     0.79145  0.00868092
         675    0.855985    0.791545  0.00866859
         676    0.856552    0.791641   0.0086563
         677    0.857111    0.791738  0.00864405
         678     0.85766    0.791835  0.00863185
         679    0.858197    0.791933  0.00861969
         680    0.858721    0.792031  0.00860757
         681     0.85923     0.79213   0.0085955
         682    0.859723    0.792229  0.00858347
         683    0.860202    0.792328  0.00857148
         684    0.860664    0.792428  0.00855953
         685    0.861108    0.792529  0.00854762
         686    0.861534    0.792629  0.00853575
         687    0.861941     0.79273  0.00852392
         688    0.862329    0.792831  0.00851213
         689    0.862695    0.792933  0.00850038
         690    0.863041    0.793034  0.00848867
         691    0.863364    0.793136    0.008477
         692    0.863664    0.793238  0.00846536
         693     0.86394     0.79334  0.00845376
         694    0.864194    0.793442  0.00844219
         695    0.864425    0.793544  0.00843066
         696    0.864631    0.793646  0.00841917
         697    0.864812    0.793748  0.00840771
         698    0.864968    0.793851  0.00839628
         699    0.865098    0.793952  0.00838489
         700    0.865202    0.794054  0.00837353
         701    0.865278    0.794156   0.0083622
         702    0.865328    0.794257   0.0083509
         703     0.86535    0.794358  0.00833964
         704    0.865344    0.794459   0.0083284
         705    0.865312     0.79456  0.00831719
         706    0.865254     0.79466  0.00830602
         707    0.865169     0.79476  0.00829487
         708    0.865056    0.794859  0.00828374
         709    0.864917    0.794958  0.00827265
         710    0.864751    0.795056  0.00826158
         711    0.864558    0.795154  0.00825054
         712    0.864337    0.795251  0.00823953
         713    0.864089    0.795347  0.00822854
         714    0.863815    0.795443  0.00821757
         715    0.863514    0.795539  0.00820663
         716    0.863187    0.795633  0.00819571
         717    0.862834    0.795727  0.00818482
         718    0.862456     0.79582  0.00817394
         719    0.862053    0.795912  0.00816309
         720    0.861626    0.796003  0.00815227
         721    0.861173    0.796093  0.00814146
         722    0.860697    0.796183  0.00813068
         723    0.860197    0.796271  0.00811991
         724    0.859673    0.796359  0.00810917
         725    0.859126    0.796446  0.00809845
         726    0.858556    0.796531  0.00808774
         727    0.857966    0.796616  0.00807706
         728    0.857354    0.796699   0.0080664
         729    0.856721    0.796781  0.00805575
         730    0.856066    0.796863  0.00804513
         731    0.855391    0.796943  0.00803452
         732    0.854695    0.797022  0.00802393
         733     0.85398    0.797099  0.00801336
         734    0.853246    0.797176  0.00800281
         735    0.852494    0.797251  0.00799227
