#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
         482        5.14      2.8205   0.0509506
         483        3.94     2.82282   0.0508978
         484        2.42     2.82198   0.0507994
         485        3.46      2.8233   0.0507117
         486         2.5     2.82263   0.0506117
         487        5.14     2.82739    0.050731
         488         2.9     2.82754   0.0506273
         489         2.9     2.82769   0.0505239
         490         2.5     2.82702   0.0504253
         491        3.94     2.82929   0.0503735
         492        2.02     2.82764   0.0502979
         493         4.1     2.83022   0.0502621
         494        2.18     2.82891   0.0501776
         495         2.9     2.82905   0.0500764
         496        2.42     2.82823   0.0499822
         497        3.38     2.82934    0.049894
         498         2.9     2.82948    0.049794
         499        1.46     2.82673   0.0497698
         500         2.5     2.82608   0.0496746
         501        3.38     2.82719   0.0495877
         502        5.14     2.83179   0.0497025
         503        2.02     2.83018   0.0496299
         504         5.3     2.83508   0.0497727
         505         2.9     2.83521   0.0496744
         506        2.02      2.8336   0.0496023
         507         1.3     2.83057   0.0495966
         508         1.7     2.82835   0.0495489
         509        2.18     2.82707   0.0494679
         510         2.5     2.82643   0.0493751
         511        2.42     2.82564   0.0492849
         512        2.42     2.82484    0.049195
         513        2.02     2.82327   0.0491241
         514         2.5     2.82265   0.0490325
         515        1.46        2.82   0.0490087
         516        2.02     2.81845   0.0489382
         517        4.58     2.82186    0.048962
         518         6.5     2.82896   0.0493797
         519        2.02      2.8274   0.0493091
         520         7.3       2.836   0.0499588
         521        3.38     2.83704   0.0498739
         522         1.7     2.83487   0.0498259
         523        1.94     2.83315     0.04976
         524        3.38      2.8342   0.0496759
         525        2.02     2.83265   0.0496055
         526         2.9     2.83278   0.0495114
         527        3.94     2.83488    0.049462
         528        5.86     2.84061    0.049699
         529         1.7     2.83845   0.0496518
         530        2.02     2.83691   0.0495822
         531        1.62     2.83461   0.0495417
         532        2.02     2.83308   0.0494723
         533        3.46     2.83426   0.0493934
         534         2.5     2.83363   0.0493049
         535        2.02     2.83211   0.0492362
         536        3.46     2.83328   0.0491583
         537         5.3     2.83788   0.0492809
         538        3.94     2.83993   0.0492318
         539        4.58     2.84315   0.0492462
         540         1.3      2.8403   0.0492379
         541        2.42     2.83952    0.049153
         542        1.62     2.83727   0.0491138
         543        4.58     2.84048   0.0491281
         544        5.14     2.84471   0.0492193
         545        1.46     2.84217   0.0491945
         546         2.5     2.84154   0.0491084
         547         2.5     2.84091   0.0490226
