#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
         256        0.08     1.25617   0.0904421
         257         1.6     1.25751   0.0901001
         258         1.3     1.25767    0.089751
         259         0.1      1.2532   0.0895157
         260        0.02     1.24846    0.089297
         261        0.32      1.2449   0.0890257
         262        0.52     1.24214   0.0887289
         263        3.62     1.25118   0.0888509
         264        2.12     1.25447   0.0885753
         265        0.02     1.24981   0.0883635
         266        2.08     1.25293   0.0880864
         267         1.7     1.25461   0.0877724
         268        0.26      1.2509   0.0875233
         269        2.26     1.25465   0.0872783
         270        2.98     1.26104   0.0871887
         271        0.26     1.25734   0.0869451
         272         2.9     1.26338    0.086835
         273         3.6     1.27194   0.0869377
         274         0.2     1.26803   0.0867084
         275         0.5     1.26524    0.086438
         276        0.82     1.26362   0.0861399
         277         0.1     1.25942   0.0859313
         278         2.5     1.26388    0.085738
         279        0.34     1.26057   0.0854946
         280         1.3     1.26071   0.0851894
         281         0.2     1.25694   0.0849698
         282        0.58     1.25454   0.0847024
         283         0.1     1.25046   0.0845013
         284        0.52     1.24789   0.0842429
         285        5.76     1.26372    0.085422
         286        1.62     1.26497   0.0851324
         287        0.08     1.26084   0.0849359
         288         3.7     1.26931   0.0850621
         289         4.5     1.28048   0.0854992
         290        0.32     1.27717   0.0852685
         291        0.08     1.27306   0.0850747
         292         0.2     1.26938   0.0848627
         293         0.5     1.26676   0.0846137
         294        0.58     1.26442   0.0843581
         295         0.4     1.26149    0.084123
         296         0.1     1.25757   0.0839303
         297        0.26     1.25421   0.0837149
         298         1.3     1.25436   0.0834341
         299        0.08     1.25043   0.0832474
         300        0.32     1.24733   0.0830277
         301        0.82     1.24591    0.082764
         302        2.18     1.24901   0.0825477
         303        0.08     1.24515   0.0823654
         304         0.9     1.24401   0.0821023
         305        0.36     1.24111   0.0818842
         306         1.8     1.24294    0.081637
         307        2.72     1.24775   0.0815127
         308        3.38     1.25468   0.0815415
         309        3.28     1.26123   0.0815407
         310        2.08     1.26387   0.0813204
         311         0.5     1.26141    0.081096
         312         4.5     1.27179   0.0814977
         313         1.7     1.27316   0.0812488
         314        0.32     1.27013   0.0810467
         315        0.74     1.26844   0.0808069
         316         1.6     1.26949    0.080558
         317        0.34     1.26656   0.0803572
         318        2.34     1.26994   0.0801754
         319         0.9     1.26878   0.0799324
         320        2.92     1.27394    0.079849
         321        0.04     1.27009   0.0796927
         322        0.18     1.26671   0.0795171
         323        1.48     1.26737   0.0792737
         324        1.16     1.26704   0.0790297
         325         0.2     1.26375   0.0788547
         326        0.36     1.26098   0.0786615
         327        1.48     1.26165   0.0784238
         328         1.3     1.26177   0.0781848
         329        0.34     1.25897   0.0779974
         330        2.88     1.26388   0.0779155
         331        2.98     1.26906   0.0778524
         332         4.5      1.2788   0.0782238
         333        2.98      1.2839   0.0781556
         334        1.16     1.28353   0.0779225
         335        1.94     1.28549   0.0777145
         336        1.28     1.28548   0.0774832
         337         0.2     1.28226   0.0773202
         338        0.34     1.27947   0.0771417
         339        2.34      1.2826   0.0769775
         340        4.66     1.29253   0.0773894
         341        0.64     1.29062   0.0771861
         342        0.52     1.28836   0.0769933
         343        0.34      1.2856   0.0768185
         344         0.8     1.28419   0.0766081
         345        0.52     1.28197   0.0764181
         346         0.5     1.27971   0.0762306
         347        0.36     1.27706    0.076057
         348           0     1.27339   0.0759269
         349        0.64     1.27158   0.0757311
         350           1      1.2708   0.0755187
         351        0.52     1.26866   0.0753338
         352         0.5     1.26648   0.0751514
         353         0.4     1.26402   0.0749786
         354           2      1.2661   0.0747956
         355        1.22     1.26597    0.074585
         356         0.1      1.2627   0.0744474
         357        0.16     1.25961   0.0743029
         358         0.1     1.25637   0.0741659
         359         0.5     1.25426   0.0739893
         360        0.72     1.25278   0.0737986
         361        6.92     1.26848   0.0752454
         362         1.3     1.26856   0.0750376
         363        1.94     1.27041   0.0748537
         364         0.9      1.2694    0.074655
         365        1.04     1.26877   0.0744531
         366         1.6     1.26967   0.0742551
         367         0.1     1.26649   0.0741212
         368         0.1     1.26332   0.0739875
         369        0.68     1.26173   0.0738039
         370         1.3     1.26184   0.0736045
         371        0.82     1.26065   0.0734157
         372        1.48     1.26124   0.0732207
