#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
         297    0.860037     1.11798   0.0174109
         298    0.860287     1.11712   0.0173739
         299    0.860531     1.11626    0.017337
         300    0.860769     1.11541   0.0173001
         301    0.861001     1.11456   0.0172633
         302    0.861227     1.11372   0.0172265
         303    0.861446     1.11289   0.0171898
         304    0.861659     1.11206   0.0171531
         305    0.861865     1.11124   0.0171164
         306    0.862065     1.11043   0.0170799
         307    0.862259     1.10962   0.0170433
         308    0.862447     1.10882   0.0170069
         309    0.862629     1.10802   0.0169705
         310    0.862807     1.10723   0.0169342
         311     0.86298     1.10645   0.0168979
         312     0.86315     1.10567   0.0168618
         313    0.863316     1.10489   0.0168257
         314     0.86348     1.10412   0.0167896
         315    0.863641     1.10336   0.0167537
         316    0.863802      1.1026   0.0167178
         317    0.863962     1.10185    0.016682
         318    0.864122      1.1011   0.0166463
         319    0.864283     1.10036   0.0166106
         320    0.864447     1.09962   0.0165751
         321    0.864614     1.09889   0.0165396
         322    0.864785     1.09816   0.0165042
         323    0.864959     1.09744   0.0164689
         324    0.865139     1.09672   0.0164337
         325    0.865325     1.09601   0.0163985
         326    0.865517      1.0953   0.0163635
         327    0.865717      1.0946   0.0163285
         328    0.865925      1.0939   0.0162936
         329    0.866142     1.09321   0.0162587
         330    0.866367     1.09253    0.016224
         331    0.866602     1.09184   0.0161893
         332    0.866847     1.09117   0.0161548
         333    0.867101     1.09049   0.0161202
         334    0.867365     1.08982   0.0160858
         335    0.867638     1.08916   0.0160515
         336    0.867922      1.0885   0.0160172
         337    0.868214     1.08785    0.015983
         338    0.868515      1.0872   0.0159489
         339    0.868824     1.08656   0.0159148
         340    0.869141     1.08592   0.0158809
         341    0.869464     1.08528    0.015847
         342    0.869793     1.08465   0.0158132
         343    0.870127     1.08403   0.0157794
         344    0.870464     1.08341   0.0157458
         345    0.870804     1.08279   0.0157122
         346    0.871145     1.08218   0.0156787
         347    0.871486     1.08157   0.0156452
         348    0.871824     1.08097   0.0156119
         349    0.872159     1.08037   0.0155786
         350    0.872489     1.07978   0.0155454
         351    0.872812     1.07919   0.0155123
         352    0.873126      1.0786   0.0154793
         353    0.873431     1.07802   0.0154463
         354    0.873724     1.07744   0.0154135
         355    0.874004     1.07687   0.0153807
         356     0.87427      1.0763    0.015348
         357    0.874519     1.07573   0.0153154
         358    0.874749     1.07517    0.015283
         359    0.874961     1.07462   0.0152506
         360    0.875152     1.07406   0.0152183
         361    0.875322     1.07351   0.0151861
         362    0.875467     1.07296    0.015154
         363    0.875589     1.07242    0.015122
         364    0.875684     1.07188   0.0150901
         365    0.875754     1.07134   0.0150583
         366    0.875797     1.07081   0.0150266
         367    0.875812     1.07028   0.0149951
         368      0.8758     1.06975   0.0149636
         369    0.875759     1.06922   0.0149323
         370     0.87569      1.0687   0.0149011
         371    0.875592     1.06818     0.01487
         372    0.875465     1.06766   0.0148391
         373    0.875309     1.06714   0.0148083
         374    0.875125     1.06663   0.0147776
         375    0.874912     1.06612    0.014747
         376    0.874672     1.06561   0.0147166
         377    0.874405      1.0651   0.0146863
         378    0.874112      1.0646   0.0146561
         379    0.873794      1.0641   0.0146261
         380    0.873451     1.06359   0.0145962
         381    0.873084     1.06309   0.0145664
         382    0.872695      1.0626   0.0145368
         383    0.872285      1.0621   0.0145074
         384    0.871854      1.0616    0.014478
         385    0.871405     1.06111   0.0144489
         386    0.870938     1.06062   0.0144198
         387    0.870455     1.06012   0.0143909
         388    0.869957     1.05963   0.0143622
         389    0.869446     1.05915   0.0143336
         390    0.868923     1.05866   0.0143051
         391    0.868391     1.05817   0.0142768
         392     0.86785     1.05769   0.0142487
         393    0.867302      1.0572   0.0142206
