#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
         248         0.9     2.80452   0.0714636
         249        0.74     2.79622    0.071656
         250        1.62     2.79152   0.0715236
         251        3.46     2.79418   0.0712882
         252        3.46     2.79683   0.0710543
         253        4.58     2.80387   0.0711222
         254        3.94     2.80835   0.0709827
         255        5.14     2.81749   0.0712908
         256        1.46     2.81219   0.0712093
         257        2.02     2.80911   0.0709989
         258        2.18     2.80667   0.0707655
         259        5.14     2.81568   0.0710634
         260        5.14     2.82462   0.0713502
         261        3.94     2.82889   0.0712047
         262        3.38     2.83099    0.070964
         263         1.3     2.82517   0.0709325
         264        2.02     2.82212   0.0707294
         265        2.34      2.8203   0.0704859
         266        2.02     2.81729   0.0702851
         267        2.02     2.81431   0.0700852
         268        0.74     2.80657   0.0702498
         269         2.9     2.80691   0.0699895
         270        3.06     2.80785   0.0697366
         271        2.42     2.80642   0.0694939
         272        0.98     2.79971   0.0695621
         273        2.18     2.79744   0.0693443
         274        1.94     2.79431   0.0691618
         275        3.06     2.79527    0.068917
         276        1.62     2.79101   0.0687988
         277        2.42     2.78968   0.0685634
         278        2.02     2.78691   0.0683727
         279        2.02     2.78416   0.0681829
         280        2.42     2.78286   0.0679517
         281         2.5     2.78185   0.0677174
         282        2.02     2.77915   0.0675311
         283        2.42     2.77788   0.0673044
         284        3.94     2.78197   0.0671917
         285         4.5       2.788   0.0672258
         286        3.94     2.79203   0.0671113
         287        3.94     2.79603   0.0669966
         288        3.94         2.8   0.0668816
         289        3.94     2.80394   0.0667664
         290        4.58     2.81007   0.0668165
         291        2.42     2.80873   0.0666003
         292        2.18     2.80658    0.066407
         293         2.9     2.80689   0.0661811
         294         1.3     2.80177   0.0661542
         295        2.42     2.80047   0.0659426
         296        3.38     2.80243   0.0657489
         297        2.42     2.80114   0.0655401
         298        3.94     2.80497   0.0654315
         299        2.42     2.80368   0.0652253
         300        3.38      2.8056   0.0650362
         301         2.9     2.80591   0.0648209
         302        1.62     2.80199   0.0647251
         303        0.98     2.79597   0.0647902
         304         2.9     2.79632    0.064578
         305        3.46     2.79849   0.0644029
         306        3.94     2.80222   0.0643004
         307         3.7     2.80515   0.0641574
         308        3.06     2.80597   0.0639544
         309        3.38     2.80783   0.0637744
         310        5.78     2.81742   0.0642854
