#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
         286         3.4     1.19545   0.0877438
         287        5.92     1.21192   0.0889689
         288        6.74     1.23111   0.0907069
         289         1.3     1.23135   0.0903934
         290         0.5     1.22883   0.0901168
         291        0.52     1.22639   0.0898401
         292         0.2     1.22288   0.0896011
         293         0.2     1.21939   0.0893633
         294        2.34      1.2232   0.0891406
         295         1.8     1.22515   0.0888599
         296        0.04     1.22115   0.0886498
         297         1.7     1.22276    0.088366
         298        0.68     1.22094   0.0880882
         299        2.98     1.22682   0.0879899
         300        0.74      1.2252   0.0877115
         301         0.2     1.22179   0.0874862
         302           0     1.21775     0.08729
         303        0.08     1.21399   0.0870827
         304        0.16     1.21053   0.0868652
         305         0.2     1.20721   0.0866436
         306         0.1     1.20359    0.086436
         307         1.6     1.20489    0.086164
         308        0.36     1.20214   0.0859279
         309        0.04     1.19838   0.0857321
         310        1.22     1.19845   0.0854556
         311         0.5     1.19621   0.0852103
         312        0.16     1.19288   0.0850019
         313         0.1     1.18939    0.084802
         314         0.4     1.18688   0.0845692
         315        1.16     1.18679   0.0843008
         316        0.08     1.18329   0.0841067
         317         0.1     1.17987   0.0839108
         318        0.58     1.17799   0.0836681
         319        0.32      1.1753   0.0834491
         320        0.68     1.17375   0.0832027
         321         0.5     1.17165   0.0829699
         322        0.02     1.16807   0.0827893
         323        0.52     1.16607   0.0825573
         324        9.36     1.19136    0.086089
         325       11.92     1.22437   0.0919356
         326        7.38     1.24325   0.0935726
         327         3.7     1.25076   0.0935876
         328         0.1     1.24726    0.093368
         329        1.94     1.24936   0.0931079
         330        0.98     1.24855   0.0928294
         331        0.32     1.24574   0.0925913
         332        0.02     1.24205    0.092386
         333         0.1     1.23862   0.0921722
         334        0.52     1.23647   0.0919213
         335        1.48     1.23719   0.0916498
         336        1.04     1.23661   0.0913789
         337        2.34     1.23988   0.0911664
         338           1     1.23917   0.0908994
         339        0.04     1.23563   0.0907001
         340         0.1     1.23229   0.0904948
         341        0.16     1.22915    0.090284
         342        0.34     1.22655   0.0900575
         343        0.26     1.22373    0.089839
         344        0.64     1.22203   0.0895939
         345           2     1.22429   0.0893625
         346        1.22     1.22428   0.0891043
         347        1.78     1.22588   0.0888619
         348        5.54     1.23828   0.0894671
         349        9.04     1.26063   0.0919611
         350        2.72      1.2648   0.0917928
         351        0.02     1.26125   0.0915998
         352         0.5     1.25909   0.0913651
         353         0.2     1.25609   0.0911555
         354        0.26     1.25328   0.0909414
         355         0.9     1.25228   0.0906907
         356         0.2     1.24933   0.0904841
         357           2     1.25143   0.0902551
         358         3.4     1.25743   0.0902023
         359        2.98     1.26223   0.0900786
         360        1.48     1.26283   0.0898304
         361        2.34     1.26582   0.0896311
         362        0.26     1.26304   0.0894266
         363         1.3     1.26314   0.0891803
         364         2.6     1.26681   0.0890108
         365        1.48      1.2674   0.0887689
         366        2.12     1.26973   0.0885569
         367         0.9     1.26872   0.0883214
         368        1.46     1.26924   0.0880829
         369         0.1     1.26607   0.0879011
         370         2.6     1.26968   0.0877375
         371        0.16     1.26668    0.087552
         372        1.22     1.26656   0.0873167
         373         0.2      1.2637   0.0871294
         374        0.04     1.26043   0.0869579
         375         1.7      1.2616   0.0867339
         376           1      1.2609    0.086506
         377        3.28     1.26626   0.0864422
         378        1.16     1.26598   0.0862139
         379        0.68     1.26443   0.0860003
         380         0.2     1.26163   0.0858196
         381        1.04     1.26105   0.0855963
         382         0.1     1.25801   0.0854262
         383        0.26      1.2554   0.0852429
         384        0.16     1.25255   0.0850686
         385        2.18     1.25496   0.0848818
         386        2.98     1.25943   0.0847794
         387           2     1.26134   0.0845819
         388         0.1     1.25835   0.0844169
         389        1.22     1.25825   0.0841999
         390        0.16     1.25544   0.0840311
         391         2.9     1.25964   0.0839214
         392           1     1.25898   0.0837099
         393        0.34     1.25664   0.0835296
         394        0.74     1.25533   0.0833279
         395        1.22     1.25524    0.083117
         396         0.1     1.25232   0.0829583
         397        2.72     1.25602   0.0828316
         398        4.42     1.26397   0.0830041
         399           1     1.26331   0.0827987
         400        0.16     1.26055   0.0826377
         401         0.1     1.25766   0.0824822
         402        0.26     1.25517   0.0823144
         403         0.1     1.25231     0.08216
         404        1.04     1.25178   0.0819583
         405         0.1     1.24894   0.0818053
         406         0.2     1.24635   0.0816446
         407         0.8     1.24526   0.0814514
         408           1     1.24466   0.0812539
         409        0.16       1.242   0.0810985
         410        0.04     1.23907   0.0809537
         411        0.16     1.23645   0.0807993
         412        0.08     1.23364   0.0806519
         413        0.04     1.23075   0.0805084
         414        2.34     1.23343   0.0803585
         415        2.72     1.23701   0.0802447
         416        1.78     1.23832   0.0800624
         417        1.78     1.23962    0.079881
         418        1.36      1.2399   0.0796904
         419        0.68     1.23857   0.0795114
         420        0.16       1.236   0.0793635
         421        3.24     1.24076   0.0793176
         422        2.72     1.24427   0.0792071
         423         2.9     1.24818   0.0791165
         424        1.36     1.24844   0.0789304
         425         0.1     1.24574   0.0787909
         426        0.26     1.24343   0.0786399
         427        2.92     1.24735   0.0785537
         428         1.7     1.24841   0.0783773
         429        1.64     1.24932   0.0781999
         430         1.6     1.25014   0.0780223
         431        1.16     1.24993   0.0778415
         432         0.2      1.2475   0.0776993
         433        0.98     1.24688   0.0775223
         434         0.4     1.24493   0.0773682
         435        3.28     1.24961   0.0773317
         436        1.04     1.24913   0.0771558
         437        2.12     1.25112    0.077005
         438        2.56     1.25411   0.0768871
         439         3.4       1.259   0.0768672
         440        2.12     1.26095   0.0767174
         441        3.28     1.26553   0.0766799
         442         0.2     1.26312   0.0765443
         443        0.74     1.26194   0.0763807
         444        0.68     1.26063   0.0762199
         445        1.78      1.2618   0.0760575
         446        2.74     1.26511   0.0759592
         447         0.2     1.26273   0.0758266
         448        0.34     1.26067   0.0756853
         449        0.52     1.25902   0.0755347
         450        3.24     1.26342   0.0754951
         451         2.9     1.26705   0.0754148
         452         1.6     1.26779   0.0752516
         453         4.5     1.27492    0.075423
         454        7.38     1.28837   0.0764462
         455        2.08     1.29011    0.076298
         456         0.8     1.28904   0.0761382
         457        0.82     1.28801   0.0759786
         458         0.9     1.28716   0.0758174
         459        0.64     1.28575   0.0756653
         460        0.34      1.2837   0.0755288
         461        0.64      1.2823   0.0753778
         462        0.52     1.28065   0.0752327
         463        0.34     1.27862   0.0750977
         464         0.5     1.27694   0.0749546
         465        1.48     1.27738   0.0747946
         466        1.22     1.27725   0.0746342
         467        0.98     1.27662   0.0744771
         468         1.7     1.27752   0.0743235
         469        3.24     1.28171   0.0742827
         470         1.3     1.28174   0.0741247
         471        0.74     1.28059   0.0739762
         472        0.64     1.27924   0.0738319
         473        0.18     1.27691   0.0737124
         474         0.4     1.27506   0.0735801
         475        1.46     1.27545   0.0734262
         476         1.3      1.2755    0.073272
         477        0.32      1.2735   0.0731458
         478        0.08       1.271   0.0730353
         479        0.34     1.26906   0.0729087
         480        0.36     1.26717   0.0727814
         481         0.1     1.26474   0.0726706
         482        0.72     1.26361   0.0725286
         483        0.68      1.2624   0.0723885
         484        0.16     1.26012   0.0722747
         485         3.6     1.26495   0.0722866
         486        0.18     1.26272   0.0721723
         487        0.32     1.26078     0.07205
         488        2.92     1.26418   0.0719826
         489         0.5     1.26262   0.0718523
         490         0.1     1.26024   0.0717449
         491        2.72     1.26322   0.0716603
         492        0.34     1.26134   0.0715392
         493        0.64     1.26008   0.0714052
         494        1.16     1.25988    0.071261
         495         0.8     1.25895   0.0711231
         496         0.9     1.25823   0.0709833
         497         0.4      1.2565   0.0708615
         498        1.22     1.25643   0.0707193
         499        0.26     1.25443   0.0706057
         500        0.26     1.25244   0.0704925
         501         0.1     1.25014   0.0703893
         502        0.36     1.24837   0.0702715
         503        0.64     1.24716   0.0701422
         504         0.8     1.24627   0.0700086
         505        0.26     1.24432   0.0698972
         506         0.2     1.24225   0.0697895
         507        0.34     1.24047   0.0696746
         508           0     1.23803   0.0695802
         509        1.06     1.23768   0.0694444
         510        1.36     1.23792   0.0693086
         511        2.12     1.23965   0.0691945
         512        4.24     1.24551    0.069307
         513        0.26     1.24359   0.0691985
         514        0.32     1.24179   0.0690872
         515         0.4     1.24016   0.0689724
         516        0.02     1.23779   0.0688793
         517        0.04     1.23547    0.068785
         518        0.18     1.23344   0.0686824
         519        0.04     1.23114   0.0685885
         520        1.78     1.23219   0.0684648
         521        1.94     1.23355   0.0683468
         522        0.68     1.23249   0.0682241
         523        1.22     1.23247   0.0680937
         524        2.98      1.2358   0.0680453
         525         1.6      1.2365   0.0679193
         526        3.28     1.24038   0.0679012
         527        4.84     1.24721    0.068115
         528        2.72        1.25   0.0680431
         529        5.54     1.25811    0.068396
         530        9.16     1.27302   0.0698731
         531        2.74     1.27578   0.0697961
         532        1.22     1.27568    0.069665
         533        2.12     1.27726   0.0695523
         534        0.26     1.27536   0.0694481
         535         0.1     1.27316    0.069353
         536        0.02     1.27082    0.069263
         537         2.6      1.2733   0.0691783
         538         0.5     1.27186   0.0690646
         539        1.36     1.27202   0.0689367
         540           1     1.27152   0.0688108
         541         0.5     1.27009   0.0686984
         542        0.18     1.26808   0.0686011
         543         0.1     1.26593   0.0685085
         544        0.16      1.2639   0.0684127
         545        0.04     1.26165    0.068324
         546        0.32     1.25993   0.0682207
         547        0.32     1.25821   0.0681176
         548        2.26     1.26004   0.0680178
         549        2.18     1.26171   0.0679146
         550        0.04     1.25949   0.0678274
         551        1.16     1.25931   0.0677045
         552        0.18     1.25736   0.0676101
         553        4.66     1.26351   0.0677673
         554        2.72     1.26614   0.0676959
         555        0.08       1.264   0.0676077
         556        0.68     1.26295   0.0674942
         557        1.48     1.26334   0.0673742
         558        0.26     1.26154   0.0672774
         559         1.6     1.26215   0.0671598
         560        0.72     1.26118   0.0670468
         561         0.5     1.25982   0.0669411
         562        0.72     1.25886   0.0668288
         563        0.04      1.2567   0.0667452
         564         0.1     1.25465   0.0666584
         565         0.2     1.25278   0.0665665
         566        1.06     1.25244   0.0664498
         567        1.16     1.25228   0.0663328
         568        0.34     1.25067   0.0662354
         569         0.9     1.25005   0.0661219
         570        0.32     1.24842    0.066026
         571        1.96     1.24967   0.0659221
         572        2.12     1.25119   0.0658245
         573         0.2     1.24935   0.0657351
         574        4.66      1.2553   0.0658886
         575        9.16     1.26904   0.0671929
         576         9.7     1.28368    0.068652
         577       11.72     1.30177   0.0708756
         578        2.26     1.30343   0.0707724
         579         2.6     1.30566   0.0706855
         580           8     1.31721   0.0714998
         581         3.6     1.32114   0.0714846
         582        3.28      1.3245    0.071441
         583        1.96     1.32559   0.0713267
         584         0.2     1.32366   0.0712306
         585        0.72     1.32263   0.0711163
         586         0.8     1.32174   0.0710006
         587        1.48     1.32201   0.0708801
         588        0.74     1.32102   0.0707665
         589         1.6     1.32149   0.0706479
         590        0.52     1.32014   0.0705413
         591        0.34     1.31848   0.0704414
         592         0.1     1.31642   0.0703525
         593        0.32     1.31474   0.0702539
         594         0.5     1.31337    0.070149
         595        0.18     1.31146    0.070057
         596        0.68      1.3104   0.0699474
         597         1.3     1.31039   0.0698303
         598         2.5     1.31237   0.0697418
         599        0.34     1.31075   0.0696443
         600        0.68      1.3097   0.0695361
         601        0.58     1.30849    0.069431
         602           1     1.30797   0.0693176
         603        2.26     1.30955   0.0692206
         604        0.26     1.30781   0.0691278
         605         0.2     1.30598   0.0690378
         606        0.68     1.30495   0.0689316
         607        0.34     1.30336   0.0688364
         608        1.48     1.30365   0.0687238
         609        0.68     1.30263   0.0686186
         610        2.56     1.30469    0.068537
         611        2.12     1.30602   0.0684378
         612        0.82     1.30523   0.0683306
         613        0.58     1.30405   0.0682294
         614        0.82     1.30326   0.0681228
         615         0.4     1.30179   0.0680279
         616        0.68     1.30078   0.0679249
         617        0.26     1.29909   0.0678358
         618        0.72     1.29816   0.0677325
         619         0.4      1.2967   0.0676386
         620        0.36     1.29519   0.0675464
         621         2.5     1.29713   0.0674655
         622        3.28     1.30032   0.0674323
         623        1.44     1.30055   0.0673244
         624        0.74     1.29965   0.0672225
         625        1.16     1.29942   0.0671153
         626        1.04     1.29901   0.0670094
         627         0.2     1.29726   0.0669255
         628        1.16     1.29704   0.0668192
         629        4.88     1.30273   0.0669554
         630         1.7     1.30337   0.0668521
         631        2.12     1.30466   0.0667586
         632        1.36     1.30475   0.0666531
         633        0.32     1.30319   0.0665659
         634        0.26     1.30155   0.0664813
         635        0.08     1.29962   0.0664044
         636         1.6     1.30009   0.0663017
         637        1.46     1.30035   0.0661981
         638        1.22     1.30022   0.0660944
         639        1.04     1.29981   0.0659922
         640        0.26     1.29819   0.0659091
         641        2.12     1.29947   0.0658188
         642        2.72     1.30168   0.0657534
         643        0.98     1.30118   0.0656531
         644        1.22     1.30106   0.0655512
         645        0.74     1.30019   0.0654554
         646        1.04     1.29978   0.0653553
         647        0.36     1.29833   0.0652704
         648        0.36     1.29688   0.0651858
         649        0.98     1.29639   0.0650872
         650        1.78     1.29714   0.0649913
         651        1.48     1.29742    0.064892
         652        1.04     1.29702   0.0647937
         653         0.1     1.29519   0.0647204
         654         0.2     1.29352   0.0646431
         655        0.04      1.2916   0.0645727
         656        0.58     1.29052   0.0644834
         657        0.16      1.2888   0.0644082
         658        0.36     1.28739   0.0643258
         659        1.06     1.28704   0.0642291
         660           1     1.28661   0.0641333
         661         1.3     1.28663   0.0640363
         662         0.8     1.28589   0.0639437
         663        0.68     1.28498   0.0638538
         664         0.5      1.2838   0.0637686
         665         0.2     1.28217   0.0636935
         666        0.82     1.28147   0.0636017
         667        0.82     1.28078   0.0635101
         668        3.14     1.28356    0.063476
         669        2.34     1.28514   0.0634007
         670        4.04     1.28925   0.0634393
